Cylinders,Engine Size(L),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
4,2,6.7,8.5,33,196
4,2.4,7.7,9.6,29,221
4,1.5,5.8,5.9,48,136
6,3.5,9.1,11.1,25,255
6,3.5,8.7,10.6,27,244
6,3.5,7.7,10,28,230
6,3.5,8.1,10.1,28,232
6,3.7,9,11.1,25,255
6,3.7,9.5,11.6,24,267
4,2.4,7.5,9.2,31,212
4,2.4,8.1,9.8,29,225
6,3.5,8.3,10.4,27,239
4,1.8,6.9,8.4,34,193
12,5.9,12.6,15.6,18,359
12,5.9,12.6,15.6,18,359
8,4.7,11.3,14.7,19,338
8,4.7,12.2,15.4,18,354
8,4.7,11.3,14.7,19,338
8,4.7,12.2,15.4,18,354
12,5.9,12.6,15.6,18,359
4,2,7.4,8.8,32,202
4,2,8.1,10,28,230
4,2,7.5,9.3,30,214
4,2,8.1,10,28,230
4,2,8.1,10,28,230
4,2,7.5,9.3,30,214
4,2,8.1,10.2,28,235
6,3,8.6,10.9,26,251
6,3,6.2,8.1,35,217
6,3,8.5,11.2,25,262
6,3,6.2,8.1,35,217
6,3,8.8,11.2,25,258
8,4,8.3,11.3,25,265
6,3,6.5,8.4,34,224
6,3,8.8,11.2,25,258
8,4,9.7,12.5,23,288
12,6.3,11.5,15.5,18,363
6,3,6.5,8.4,34,224
4,2,8.8,10.5,27,242
4,2,8.5,10.4,27,239
6,3,9.2,11.2,25,258
6,3,7.8,9,31,244
4,2,8.3,9.2,31,212
6,3,10.9,13.2,21,304
6,3,8.7,10.7,26,290
8,4.2,11,14.6,19,336
8,4.2,13.4,17.7,16,407
10,5.2,10.6,14.8,19,347
10,5.2,13.8,17.8,16,409
8,4.2,11,14.6,19,336
8,4.2,13.4,17.7,16,407
10,5.2,10.6,14.8,19,347
10,5.2,13.8,17.8,16,409
8,4.2,10.9,13.3,21,306
8,4.2,11.3,13.4,21,308
8,4,8.8,12.5,23,293
6,3,9.2,11.4,25,262
6,3,9.8,12.4,23,285
6,3,9.2,11.4,25,262
6,3,9.8,12.4,23,285
6,3,9.5,11.6,24,267
8,4,9.7,12.2,23,281
8,4,9.7,12.2,23,281
8,4,9.2,12.8,22,300
6,3,10.1,12.7,22,292
4,2,7.6,9.1,31,209
4,2,7.6,9.1,31,209
4,2,8.8,10.3,27,237
4,2,8.8,10.3,27,237
8,4,9.8,13.4,21,314
12,6,11.5,15.5,18,356
8,4,10.2,14.2,20,332
12,6,12.2,16.5,17,380
12,6,12.2,16.5,17,380
12,6,11.9,16.5,17,388
8,6.8,14.9,19,15,437
4,2,6.5,8.4,34,193
4,2,6.7,8.7,32,200
4,2,7,8.8,32,202
4,2,5.5,6.7,42,181
4,2,5.5,6.7,42,181
4,2,6.5,8.4,34,193
4,2,6.7,8.7,32,200
4,2,7.2,9.1,31,209
4,2,7.2,9.1,31,209
4,2,7.2,9.1,31,209
6,3,7.3,9.6,29,221
6,3,7.9,10,28,230
6,3,7.8,9.9,29,228
6,3,8.3,10.3,27,237
6,3,8,10.1,28,232
4,2,6.5,8.4,34,193
4,2,6.7,8.7,32,200
4,2,7.2,9.1,31,209
6,3,7.3,9.6,29,221
6,3,7.9,10,28,230
6,3,7.8,9.9,29,228
6,3,8.3,10.3,27,237
4,2,7,8.8,32,202
4,2,7.2,9.1,31,209
6,3,6.4,7.9,36,213
6,3,8,10.1,28,232
6,3,8.6,10.7,26,246
8,4.4,9.6,12.2,23,281
8,4.4,9.8,12.7,22,292
6,3,8,10.1,28,232
8,4.4,9.8,12.7,22,292
8,4.4,9.6,12.2,23,281
8,4.4,9.8,12.7,22,292
6,3,8.6,10.7,26,246
8,4.4,9.8,12.7,22,292
8,4.4,9.8,12.7,22,292
12,6,11.5,15.5,18,356
6,3,7.1,8.3,34,191
6,3,7.9,9.3,30,214
6,3,7.6,9.2,31,212
8,4.4,9.8,12.7,22,292
8,4.4,9.8,12.7,22,292
8,4.4,11.5,14.7,19,338
8,4.4,10.9,13.8,20,317
8,4.4,11.5,14.7,19,338
8,4.4,10.9,13.8,20,317
8,4.4,11.5,14.7,19,338
8,4.4,10.9,13.8,20,317
8,4.4,11.5,14.7,19,338
8,4.4,10.9,13.8,20,317
4,2,7.2,9.1,31,209
6,3,8.9,11.3,25,260
4,2,8.5,10,28,230
6,3,9.1,11,26,253
6,3,8.8,11.1,25,255
8,4.4,10.9,13.9,20,320
8,4.4,13.7,16.1,18,370
6,3,9.8,11.9,24,274
8,4.4,11.3,14.1,20,324
4,2,7.1,9.1,31,209
4,2,6.7,8.7,32,200
6,3,10.1,12.1,23,278
6,3,9,11,26,253
6,3,10.1,12.1,23,278
6,3.6,9.9,12.3,23,283
6,3.6,10.2,12.6,22,290
4,1.4,7.2,8.5,33,196
4,1.4,8,9.2,31,212
6,3.6,8.7,11.5,25,264
6,3.6,12.2,15.6,18,250
6,3.6,8.9,11.5,25,264
6,3.6,13,16.5,17,264
4,2.4,6.5,8.2,34,189
4,2,7.9,9.9,29,228
4,2,7.5,9.8,29,225
4,2,8.7,10.7,26,246
4,2.4,6.5,8.2,34,189
4,2,7.9,9.9,29,228
4,2,7.5,9.8,29,225
4,2.4,7.4,9.5,30,218
4,2,7.5,9.6,29,221
4,2,7.9,10.2,28,235
4,2.5,7.2,9,31,207
6,3.6,8.5,10.9,26,251
4,2,8.1,10.1,28,232
6,3.6,9,11.3,25,260
6,3.6,8.7,11.2,25,258
6,3.6,9,11.4,25,262
4,2,7.9,10.1,28,232
6,3.6,8.2,10.8,26,248
4,2,8.5,10.8,26,248
6,3.6,9,11.3,25,260
6,3.6,9.9,12.8,22,294
6,3,8.9,11,26,253
6,3.6,8.9,11.3,25,260
6,3,9.1,11.1,25,255
6,3.6,9,11.4,25,262
8,6.2,12.9,16.6,17,382
8,6.2,12.5,14.8,19,340
8,6.2,12.9,16.6,17,382
8,6.2,12.5,14.8,19,340
8,6.2,12.9,16.6,17,382
8,6.2,12.5,14.8,19,340
8,6.2,11.8,14.7,19,338
8,6.2,16.1,20.1,14,322
8,6.2,13.4,16.4,17,377
8,6.2,17.8,22.1,13,354
6,3.6,9.8,12.3,23,283
6,3.6,10.4,12.8,22,294
6,3.6,8.6,11.4,25,262
6,3.6,9.1,11.8,24,271
6,3.6,9.8,12.6,22,290
6,3.6,8.7,11.2,25,258
6,3.6,8.6,11.7,24,269
6,3.6,7.9,10.5,27,242
